pca_dim,nb_kernels,kernel_size,stride,kernel_modes,variant,mean_accuracy,std_accuracy,param_count,run_dir,efficiency
8,1,4,1,10,qconv_quantum,0.6501182033096927,0.19531765529386608,202,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155546,0.0032184069470776867
8,1,4,1,10,qconv_classical,0.5538219070133964,0.029754694724193457,17,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155546,0.03257775923608214
8,1,4,1,12,qconv_quantum,0.6455476753349094,0.13988588057468618,286,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155610,0.002257159703968215
8,1,4,1,12,qconv_classical,0.5538219070133964,0.029754694724193457,17,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155610,0.03257775923608214
8,1,4,1,16,qconv_quantum,0.7992119779353822,0.2284291524293715,502,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155701,0.0015920557329390085
8,1,4,1,16,qconv_classical,0.5538219070133964,0.029754694724193457,17,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-155701,0.03257775923608214
8,1,4,2,4,qconv_quantum,0.6416075650118204,0.08640589172852564,38,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160244,0.01688440960557422
8,1,4,2,4,qconv_classical,0.6485421591804571,0.09952952646669914,13,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160244,0.0498878583984967
8,1,4,2,8,qconv_quantum,0.7279747832939323,0.2142612720542832,126,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160249,0.005777577645189939
8,1,4,2,8,qconv_classical,0.6485421591804571,0.09952952646669914,13,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160249,0.0498878583984967
8,1,4,2,10,qconv_quantum,0.6780141843971631,0.20038079426100736,194,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160259,0.0034949184762740368
8,1,4,2,10,qconv_classical,0.6485421591804571,0.09952952646669914,13,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160259,0.0498878583984967
8,1,4,2,12,qconv_quantum,0.7785657998423956,0.22631329684203633,278,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160318,0.0028005964023107757
8,1,4,2,12,qconv_classical,0.6485421591804571,0.09952952646669914,13,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160318,0.0498878583984967
8,1,4,2,16,qconv_quantum,0.7850275807722616,0.216301248077479,494,/Users/cassandrenotton/Documents/projects/QML_project/fork_reproduced_papers/reproduced_papers/QCNN_data_classification/results-mnist/run_20251128-160351,0.001589124657433728
